market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
US,GSST,0.14,0.14,-3.58,0.0,7.11,SPY,ready,yfinance_close_price_20260528,
US,BSJQ,-1.11,-1.11,-24.95,0.31,7.8,SPY,ready,yfinance_close_price_20260528,
US,CGSD,0.73,0.73,-2.93,0.01,3.58,SPY,ready,yfinance_close_price_20260528,
US,DFSD,-1.01,-1.01,-9.85,0.04,4.53,SPY,ready,yfinance_close_price_20260528,
US,DUSB,0.55,0.55,-0.85,0.01,2.66,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,JMST,0.23,0.23,-2.41,0.0,7.59,SPY,ready,yfinance_close_price_20260528,
US,JPST,0.12,0.12,-3.3,0.01,9.02,SPY,ready,yfinance_close_price_20260528,
US,RAVI,-0.01,-0.01,-4.13,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,SJNK,-0.63,-0.63,-23.17,0.27,9.99,SPY,ready,yfinance_close_price_20260528,
US,VNLA,-0.21,-0.21,-6.2,-0.0,9.51,SPY,ready,yfinance_close_price_20260528,
US,YEAR,0.2,0.2,-1.2,0.01,3.7,SPY,ready,yfinance_close_price_20260528,
US,TMF,-17.48,-17.48,-93.82,-0.35,9.99,SPY,ready,yfinance_close_price_20260528,
US,NUGT,-6.07,-6.07,-96.95,0.87,9.99,SPY,ready,yfinance_close_price_20260528,
US,SMIG,5.33,5.33,-20.75,0.77,4.75,SPY,ready,yfinance_close_price_20260528,
US,BITX,4.14,4.14,-80.35,2.43,2.92,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,GBIL,0.01,0.01,-1.22,-0.0,9.7,SPY,ready,yfinance_close_price_20260528,
US,GIGB,-0.92,-0.92,-26.2,0.14,8.97,SPY,ready,yfinance_close_price_20260528,
US,ARKF,10.04,10.04,-78.63,1.51,7.31,SPY,ready,yfinance_close_price_20260528,
US,BLOK,14.86,14.86,-76.58,1.35,8.33,SPY,ready,yfinance_close_price_20260528,
US,BSCQ,-0.3,-0.3,-16.5,0.05,9.68,SPY,ready,yfinance_close_price_20260528,
US,BSCR,-0.21,-0.21,-18.12,0.08,8.66,SPY,ready,yfinance_close_price_20260528,
US,BSCS,0.21,0.21,-20.36,0.09,7.8,SPY,ready,yfinance_close_price_20260528,
US,BSCT,-0.94,-0.94,-22.23,0.11,6.7,SPY,ready,yfinance_close_price_20260528,
US,BSCU,-3.19,-3.19,-25.29,0.12,5.69,SPY,ready,yfinance_close_price_20260528,
US,BSCV,-4.16,-4.16,-25.98,0.13,4.69,SPY,ready,yfinance_close_price_20260528,
US,BSCW,0.52,0.52,-11.22,0.15,3.71,SPY,ready,yfinance_close_price_20260528,
US,BSV,-0.3,-0.3,-11.08,0.0,9.99,SPY,ready,yfinance_close_price_20260528,
US,ICSH,0.12,0.12,-3.94,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,MEAR,0.03,0.03,-2.7,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,NEAR,0.13,0.13,-9.68,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,PULS,-0.07,-0.07,-6.13,0.01,8.13,SPY,ready,yfinance_close_price_20260528,
US,SCHO,-0.47,-0.47,-7.87,-0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,SHM,-0.21,-0.21,-11.61,0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,SMMU,-0.02,-0.02,-5.87,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPSB,-0.2,-0.2,-11.75,0.04,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPTS,-0.46,-0.46,-6.99,-0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,SUB,0.03,0.03,-9.46,0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,TBLL,0.02,0.02,-1.3,-0.0,9.34,SPY,ready,yfinance_close_price_20260528,
US,TUA,-5.35,-5.35,-21.87,-0.07,3.53,SPY,ready,yfinance_close_price_20260528,
US,ULST,0.08,0.08,-6.34,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,USTB,0.1,0.1,-7.56,0.03,8.58,SPY,ready,yfinance_close_price_20260528,
US,VCSH,-0.12,-0.12,-12.86,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,VGSH,-0.46,-0.46,-8.05,-0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,VUSB,-0.11,-0.11,-2.81,0.01,5.14,SPY,ready,yfinance_close_price_20260528,
US,ANGL,0.76,0.76,-29.58,0.35,9.99,SPY,ready,yfinance_close_price_20260528,
US,AVIG,-3.34,-3.34,-23.46,0.09,5.61,SPY,ready,yfinance_close_price_20260528,
US,BBHY,-0.88,-0.88,-25.29,0.29,9.69,SPY,ready,yfinance_close_price_20260528,
US,BINC,1.26,1.26,-4.52,0.11,3.01,SPY,ready,yfinance_close_price_20260528,
US,BIZD,-2.54,-2.54,-60.35,0.73,9.99,SPY,ready,yfinance_close_price_20260528,
US,CDC,6.81,6.81,-25.69,0.53,9.99,SPY,ready,yfinance_close_price_20260528,
US,CGCP,-2.98,-2.98,-18.47,0.12,4.25,SPY,ready,yfinance_close_price_20260528,
US,CGMS,2.39,2.39,-6.63,0.18,3.58,SPY,ready,yfinance_close_price_20260528,
US,CGMU,2.36,2.36,-6.04,0.04,3.58,SPY,ready,yfinance_close_price_20260528,
US,CONY,-53.64,-53.64,-92.26,2.16,2.78,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,CSHI,-0.1,-0.1,-2.9,0.05,3.74,SPY,ready,yfinance_close_price_20260528,
US,DFCF,-3.74,-3.74,-21.67,0.1,4.53,SPY,ready,yfinance_close_price_20260528,
US,DFGP,3.05,3.05,-5.75,0.08,2.55,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,DIVO,6.69,6.69,-31.72,0.7,9.45,SPY,ready,yfinance_close_price_20260528,
US,EIPI,9.7,9.7,-14.14,0.41,2.06,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,FIXD,-1.53,-1.53,-26.65,0.02,9.27,SPY,ready,yfinance_close_price_20260528,
US,FMHI,-0.5,-0.5,-22.72,0.08,8.56,SPY,ready,yfinance_close_price_20260528,
US,FPE,-0.6,-0.6,-33.59,0.3,9.99,SPY,ready,yfinance_close_price_20260528,
US,FPEI,-0.45,-0.45,-27.77,0.2,8.76,SPY,ready,yfinance_close_price_20260528,
US,FTHI,1.85,1.85,-35.49,0.67,9.99,SPY,ready,yfinance_close_price_20260528,
US,HYDB,-0.84,-0.84,-23.21,0.3,8.87,SPY,ready,yfinance_close_price_20260528,
US,HYG,-0.42,-0.42,-22.86,0.36,9.99,SPY,ready,yfinance_close_price_20260528,
US,HYGV,-2.7,-2.7,-25.93,0.36,7.86,SPY,ready,yfinance_close_price_20260528,
US,HYLB,-1.05,-1.05,-24.69,0.34,9.45,SPY,ready,yfinance_close_price_20260528,
US,HYMB,-1.53,-1.53,-29.76,0.21,9.99,SPY,ready,yfinance_close_price_20260528,
US,HYS,-0.25,-0.25,-22.74,0.28,9.99,SPY,ready,yfinance_close_price_20260528,
US,JEPI,2.01,2.01,-20.01,0.55,6.02,SPY,ready,yfinance_close_price_20260528,
US,JEPQ,4.36,4.36,-21.59,0.91,4.06,SPY,ready,yfinance_close_price_20260528,
US,JNK,-0.9,-0.9,-24.67,0.36,9.99,SPY,ready,yfinance_close_price_20260528,
US,JPIE,-1.97,-1.97,-13.36,0.09,4.56,SPY,ready,yfinance_close_price_20260528,
US,KNG,2.52,2.52,-35.12,0.75,8.17,SPY,ready,yfinance_close_price_20260528,
US,NVDY,-11.75,-11.75,-60.45,1.63,3.04,SPY,ready,yfinance_close_price_20260528,
US,PCEF,-0.88,-0.88,-40.4,0.58,9.99,SPY,ready,yfinance_close_price_20260528,
US,PFF,-2.3,-2.3,-37.64,0.45,9.99,SPY,ready,yfinance_close_price_20260528,
US,RDVI,9.86,9.86,-20.66,0.91,3.6,SPY,ready,yfinance_close_price_20260528,
US,SHYG,-0.78,-0.78,-21.84,0.28,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPHY,-0.8,-0.8,-23.15,0.29,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPYI,2.38,2.38,-18.53,0.76,3.74,SPY,ready,yfinance_close_price_20260528,
US,TSLY,-41.15,-41.15,-87.24,1.68,3.51,SPY,ready,yfinance_close_price_20260528,
US,UCO,-12.28,-12.28,-98.75,1.14,9.99,SPY,ready,yfinance_close_price_20260528,
US,UNIY,-0.8,-0.8,-8.35,0.07,3.3,SPY,ready,yfinance_close_price_20260528,
US,USHY,-1.38,-1.38,-23.61,0.33,8.58,SPY,ready,yfinance_close_price_20260528,
US,PDBC,0.29,0.29,-46.24,0.31,9.99,SPY,ready,yfinance_close_price_20260528,
US,UCON,-0.1,-0.1,-15.31,0.07,7.98,SPY,ready,yfinance_close_price_20260528,
US,SYFI,0.98,0.98,-5.84,0.21,1.96,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,CONL,-28.88,-28.88,-93.95,4.57,3.79,SPY,ready,yfinance_close_price_20260528,
US,DPST,-15.93,-15.93,-97.88,3.43,9.99,SPY,ready,yfinance_close_price_20260528,
US,FAS,16.55,16.55,-85.99,2.92,9.99,SPY,ready,yfinance_close_price_20260528,
US,LABU,-12.82,-12.82,-98.97,3.32,9.99,SPY,ready,yfinance_close_price_20260528,
US,NVDL,150.68,150.68,-67.55,3.8,3.45,SPY,review_required,yfinance_close_price_20260528,abnormal cagr
US,NVDX,121.67,121.67,-72.15,4.04,2.6,SPY,review_required,yfinance_close_price_20260528,abnormal cagr
US,ROM,40.62,40.62,-67.55,2.51,9.99,SPY,ready,yfinance_close_price_20260528,
US,SOXL,60.26,60.26,-90.51,4.45,9.99,SPY,ready,yfinance_close_price_20260528,
US,SOXS,-78.76,-78.76,-100.0,-4.56,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPXL,28.9,28.9,-76.86,2.96,9.99,SPY,ready,yfinance_close_price_20260528,
US,TECL,50.02,50.02,-77.96,3.7,9.99,SPY,ready,yfinance_close_price_20260528,
US,TNA,7.93,7.93,-88.19,3.27,9.99,SPY,ready,yfinance_close_price_20260528,
US,USD,59.94,59.94,-77.85,3.08,9.99,SPY,ready,yfinance_close_price_20260528,
US,YINN,-19.78,-19.78,-98.7,2.3,9.99,SPY,ready,yfinance_close_price_20260528,
US,DGRO,10.65,10.65,-35.1,0.87,9.99,SPY,ready,yfinance_close_price_20260528,
US,DGRW,11.9,11.9,-32.21,0.87,9.99,SPY,ready,yfinance_close_price_20260528,
US,IGRO,6.0,6.0,-37.05,0.71,9.99,SPY,ready,yfinance_close_price_20260528,
US,IHDG,6.87,6.87,-29.24,0.74,9.99,SPY,ready,yfinance_close_price_20260528,
US,IQDG,5.31,5.31,-38.31,0.79,9.99,SPY,ready,yfinance_close_price_20260528,
US,TDIV,15.99,15.99,-33.0,1.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,TDVG,11.73,11.73,-19.87,0.77,5.81,SPY,ready,yfinance_close_price_20260528,
US,ARKB,21.69,21.69,-49.3,1.27,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,BITB,21.64,21.64,-49.38,1.27,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,BITO,-26.95,-26.95,-79.69,1.39,4.6,SPY,ready,yfinance_close_price_20260528,
US,BRRR,21.57,21.57,-49.35,1.26,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,BTCO,21.98,21.98,-49.33,1.26,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,FBTC,21.75,21.75,-49.33,1.27,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,GBTC,54.08,54.08,-89.91,1.19,9.99,SPY,ready,yfinance_close_price_20260528,
US,HODL,21.93,21.93,-49.25,1.26,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,IBIT,21.71,21.71,-49.36,1.28,2.37,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,APCB,-0.86,-0.86,-7.72,0.06,3.07,SPY,ready,yfinance_close_price_20260528,
US,BAB,-1.39,-1.39,-29.5,0.04,9.99,SPY,ready,yfinance_close_price_20260528,
US,BBAG,-1.17,-1.17,-23.99,0.04,7.45,SPY,ready,yfinance_close_price_20260528,
US,BIV,-1.15,-1.15,-25.3,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,BKAG,-2.91,-2.91,-23.43,0.05,6.09,SPY,ready,yfinance_close_price_20260528,
US,BLV,-3.09,-3.09,-46.31,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,BND,-1.22,-1.22,-23.96,0.04,9.99,SPY,ready,yfinance_close_price_20260528,
US,BNDW,-1.23,-1.23,-20.94,0.04,7.72,SPY,ready,yfinance_close_price_20260528,
US,BNDX,-1.25,-1.25,-20.67,0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,BOND,-1.4,-1.4,-24.58,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,BWX,-2.2,-2.2,-35.17,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,CGCB,1.74,1.74,-6.57,0.05,2.66,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,CMF,-0.51,-0.51,-14.64,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,CORP,-0.72,-0.72,-25.03,0.11,9.99,SPY,ready,yfinance_close_price_20260528,
US,DFNM,-0.92,-0.92,-8.4,0.02,4.53,SPY,ready,yfinance_close_price_20260528,
US,EAGG,-0.75,-0.75,-22.95,0.03,7.59,SPY,ready,yfinance_close_price_20260528,
US,EBND,-2.32,-2.32,-39.79,0.25,9.99,SPY,ready,yfinance_close_price_20260528,
US,EDV,-6.72,-6.72,-65.94,-0.14,9.99,SPY,ready,yfinance_close_price_20260528,
US,EMB,-1.44,-1.44,-34.65,0.32,9.99,SPY,ready,yfinance_close_price_20260528,
US,EMLC,-3.33,-3.33,-43.34,0.27,9.99,SPY,ready,yfinance_close_price_20260528,
US,EUSB,-2.47,-2.47,-21.72,0.07,5.9,SPY,ready,yfinance_close_price_20260528,
US,FALN,0.67,0.67,-29.96,0.35,9.93,SPY,ready,yfinance_close_price_20260528,
US,FBND,-0.83,-0.83,-23.21,0.08,9.99,SPY,ready,yfinance_close_price_20260528,
US,FLCB,-2.38,-2.38,-25.03,0.03,6.69,SPY,ready,yfinance_close_price_20260528,
US,FLDR,0.03,0.03,-12.31,0.07,7.94,SPY,ready,yfinance_close_price_20260528,
US,FLGV,-3.65,-3.65,-23.46,0.02,5.96,SPY,ready,yfinance_close_price_20260528,
US,FLIA,-2.6,-2.6,-26.67,0.02,7.99,SPY,ready,yfinance_close_price_20260528,
US,FLOT,0.1,0.1,-13.68,0.09,9.99,SPY,ready,yfinance_close_price_20260528,
US,GOVI,-2.23,-2.23,-36.14,-0.06,9.99,SPY,ready,yfinance_close_price_20260528,
US,GOVT,-1.23,-1.23,-23.67,-0.04,9.99,SPY,ready,yfinance_close_price_20260528,
US,GTO,-0.81,-0.81,-25.87,0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,GVI,-0.52,-0.52,-15.45,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,HTRB,-1.95,-1.95,-26.85,0.03,8.66,SPY,ready,yfinance_close_price_20260528,
US,IAGG,-0.35,-0.35,-15.86,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,IBDR,-0.4,-0.4,-16.32,0.05,9.68,SPY,ready,yfinance_close_price_20260528,
US,IBDS,-0.35,-0.35,-18.21,0.08,8.69,SPY,ready,yfinance_close_price_20260528,
US,IBDT,0.13,0.13,-21.32,0.08,7.68,SPY,ready,yfinance_close_price_20260528,
US,IBDU,-1.22,-1.22,-22.93,0.12,6.69,SPY,ready,yfinance_close_price_20260528,
US,IBDV,-2.4,-2.4,-24.9,0.11,5.92,SPY,ready,yfinance_close_price_20260528,
US,IBDW,-3.61,-3.61,-26.72,0.13,4.92,SPY,ready,yfinance_close_price_20260528,
US,IBDX,-0.03,-0.03,-13.89,0.17,3.91,SPY,ready,yfinance_close_price_20260528,
US,IBDY,1.02,1.02,-8.56,0.14,2.93,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,IBTG,-1.61,-1.61,-15.61,-0.02,6.24,SPY,ready,yfinance_close_price_20260528,
US,IBTH,-1.93,-1.93,-18.73,-0.0,6.24,SPY,ready,yfinance_close_price_20260528,
US,IBTI,-2.23,-2.23,-20.83,-0.02,6.24,SPY,ready,yfinance_close_price_20260528,
US,ICVT,10.18,10.18,-38.15,0.68,9.99,SPY,ready,yfinance_close_price_20260528,
US,IEF,-1.5,-1.5,-27.72,-0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,IEI,-0.64,-0.64,-16.77,-0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,IGEB,-1.24,-1.24,-26.13,0.11,8.87,SPY,ready,yfinance_close_price_20260528,
US,IGIB,-0.33,-0.33,-23.94,0.1,9.99,SPY,ready,yfinance_close_price_20260528,
US,IGLB,-1.82,-1.82,-39.98,0.2,9.99,SPY,ready,yfinance_close_price_20260528,
US,IGOV,-1.46,-1.46,-36.13,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,IGSB,-0.06,-0.06,-13.38,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,ILTB,-2.55,-2.55,-43.92,0.08,9.99,SPY,ready,yfinance_close_price_20260528,
US,ISTB,-0.42,-0.42,-11.76,0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,IUSB,-1.03,-1.03,-22.73,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,JCPB,-1.08,-1.08,-22.96,0.04,7.21,SPY,ready,yfinance_close_price_20260528,
US,JCPI,-0.8,-0.8,-10.91,0.06,4.13,SPY,ready,yfinance_close_price_20260528,
US,JPLD,1.57,1.57,-1.59,0.01,2.82,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,JPMB,-2.67,-2.67,-32.89,0.26,8.32,SPY,ready,yfinance_close_price_20260528,
US,LQD,-0.91,-0.91,-29.37,0.15,9.99,SPY,ready,yfinance_close_price_20260528,
US,MUB,-0.49,-0.49,-14.39,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,MUNI,-0.39,-0.39,-13.4,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,NYF,-0.61,-0.61,-14.77,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,PCRB,-2.35,-2.35,-9.9,0.05,3.35,SPY,ready,yfinance_close_price_20260528,
US,PWZ,-0.89,-0.89,-20.25,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,PYLD,1.89,1.89,-5.87,0.09,2.93,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,PZA,-1.15,-1.15,-21.69,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,QLTA,-1.01,-1.01,-26.32,0.11,9.99,SPY,ready,yfinance_close_price_20260528,
US,SCHI,-1.4,-1.4,-23.65,0.12,6.63,SPY,ready,yfinance_close_price_20260528,
US,SCHQ,-6.64,-6.64,-50.28,-0.09,6.63,SPY,ready,yfinance_close_price_20260528,
US,SCHR,-1.06,-1.06,-20.13,-0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,SCHZ,-1.33,-1.33,-24.3,0.04,9.99,SPY,ready,yfinance_close_price_20260528,
US,SGOV,0.11,0.11,-0.68,0.0,5.98,SPY,ready,yfinance_close_price_20260528,
US,SHV,-0.0,-0.0,-1.2,-0.0,9.99,SPY,ready,yfinance_close_price_20260528,
US,SHY,-0.32,-0.32,-7.25,-0.0,9.99,SPY,ready,yfinance_close_price_20260528,
US,SLQD,-0.05,-0.05,-12.69,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,SMTH,0.81,0.81,-5.62,0.06,2.47,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,SPAB,-1.38,-1.38,-24.08,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPBO,-0.99,-0.99,-26.4,0.11,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPIB,-0.25,-0.25,-17.32,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPLB,-1.89,-1.89,-40.25,0.19,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPMB,-1.96,-1.96,-26.26,0.1,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPTI,-0.69,-0.69,-18.96,-0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,SPTL,-3.65,-3.65,-50.17,-0.12,9.99,SPY,ready,yfinance_close_price_20260528,
US,STIP,0.28,0.28,-10.26,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,SUSB,-0.06,-0.06,-13.25,0.05,8.86,SPY,ready,yfinance_close_price_20260528,
US,SUSC,-1.03,-1.03,-25.83,0.13,8.85,SPY,ready,yfinance_close_price_20260528,
US,TBIL,0.12,0.12,-0.58,0.0,3.8,SPY,ready,yfinance_close_price_20260528,
US,TFI,-0.89,-0.89,-18.31,0.05,9.99,SPY,ready,yfinance_close_price_20260528,
US,TFLO,0.1,0.1,-0.75,-0.0,9.99,SPY,ready,yfinance_close_price_20260528,
US,TIP,-0.29,-0.29,-21.96,0.02,9.99,SPY,ready,yfinance_close_price_20260528,
US,TLH,-3.43,-3.43,-45.97,-0.08,9.99,SPY,ready,yfinance_close_price_20260528,
US,TLT,-4.14,-4.14,-51.76,-0.12,9.99,SPY,ready,yfinance_close_price_20260528,
US,TLTW,-14.19,-14.19,-45.81,0.13,3.76,SPY,ready,yfinance_close_price_20260528,
US,UITB,-0.79,-0.79,-20.97,0.03,8.58,SPY,ready,yfinance_close_price_20260528,
US,USFR,0.12,0.12,-1.07,0.0,9.99,SPY,ready,yfinance_close_price_20260528,
US,USIG,-0.79,-0.79,-24.9,0.11,9.99,SPY,ready,yfinance_close_price_20260528,
US,VCEB,-3.02,-3.02,-24.44,0.14,5.67,SPY,ready,yfinance_close_price_20260528,
US,VCIT,-0.56,-0.56,-24.19,0.1,9.99,SPY,ready,yfinance_close_price_20260528,
US,VCLT,-1.87,-1.87,-40.1,0.21,9.99,SPY,ready,yfinance_close_price_20260528,
US,VGIT,-1.11,-1.11,-20.75,-0.03,9.99,SPY,ready,yfinance_close_price_20260528,
US,VGLT,-3.8,-3.8,-50.44,-0.12,9.99,SPY,ready,yfinance_close_price_20260528,
US,VTC,-1.15,-1.15,-25.64,0.12,8.54,SPY,ready,yfinance_close_price_20260528,
US,VTEB,-0.33,-0.33,-17.0,0.06,9.99,SPY,ready,yfinance_close_price_20260528,
US,VWOB,-1.45,-1.45,-32.89,0.3,9.99,SPY,ready,yfinance_close_price_20260528,
US,XBIL,0.09,0.09,-0.75,0.0,3.22,SPY,ready,yfinance_close_price_20260528,
US,XHLF,0.15,0.15,-0.62,-0.0,3.69,SPY,ready,yfinance_close_price_20260528,
US,ZROZ,-6.62,-6.62,-68.71,-0.17,9.99,SPY,ready,yfinance_close_price_20260528,
US,BAR,14.65,14.65,-21.53,0.09,8.73,SPY,ready,yfinance_close_price_20260528,
US,BCI,-0.3,-0.3,-40.4,0.22,9.16,SPY,ready,yfinance_close_price_20260528,
US,COMT,0.57,0.57,-48.95,0.32,9.99,SPY,ready,yfinance_close_price_20260528,
US,DBC,7.21,7.21,-43.37,0.31,9.99,SPY,ready,yfinance_close_price_20260528,
US,FTGC,3.22,3.22,-37.3,0.27,9.99,SPY,ready,yfinance_close_price_20260528,
US,GDX,14.25,14.25,-50.91,0.44,9.99,SPY,ready,yfinance_close_price_20260528,
US,GDXJ,12.8,12.8,-59.2,0.65,9.99,SPY,ready,yfinance_close_price_20260528,
US,GEM,7.36,7.36,-40.21,0.78,9.99,SPY,ready,yfinance_close_price_20260528,
US,GLD,13.43,13.43,-22.0,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,GLDM,17.13,17.13,-21.63,0.09,7.92,SPY,ready,yfinance_close_price_20260528,
US,GSEW,9.88,9.88,-38.65,0.96,8.7,SPY,ready,yfinance_close_price_20260528,
US,GSG,7.56,7.56,-57.64,0.37,9.99,SPY,ready,yfinance_close_price_20260528,
US,GSID,11.03,11.03,-32.42,0.75,6.02,SPY,ready,yfinance_close_price_20260528,
US,GSIE,6.44,6.44,-37.19,0.79,9.99,SPY,ready,yfinance_close_price_20260528,
US,GSLC,12.93,12.93,-33.69,0.98,9.99,SPY,ready,yfinance_close_price_20260528,
US,GSUS,17.04,17.04,-26.37,0.99,6.02,SPY,ready,yfinance_close_price_20260528,
US,GUSA,13.29,13.29,-19.91,0.98,4.12,SPY,ready,yfinance_close_price_20260528,
US,GVUS,18.17,18.17,-16.7,0.72,2.49,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,IAU,13.6,13.6,-21.82,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,IAUM,20.51,20.51,-20.87,0.13,4.9,SPY,ready,yfinance_close_price_20260528,
US,IEO,7.21,7.21,-75.62,1.09,9.99,SPY,ready,yfinance_close_price_20260528,
US,OIH,-2.75,-2.75,-90.34,1.29,9.99,SPY,ready,yfinance_close_price_20260528,
US,OUNZ,13.5,13.5,-21.76,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,PHYS,12.86,12.86,-23.75,0.09,9.99,SPY,ready,yfinance_close_price_20260528,
US,RING,14.51,14.51,-53.77,0.47,9.99,SPY,ready,yfinance_close_price_20260528,
US,SGOL,13.62,13.62,-21.56,0.07,9.99,SPY,ready,yfinance_close_price_20260528,
US,SIL,10.35,10.35,-65.27,0.63,9.99,SPY,ready,yfinance_close_price_20260528,
US,SILJ,9.61,9.61,-71.16,0.78,9.99,SPY,ready,yfinance_close_price_20260528,
US,SIVR,16.32,16.32,-42.42,0.4,9.99,SPY,ready,yfinance_close_price_20260528,
US,SLV,16.11,16.11,-42.81,0.4,9.99,SPY,ready,yfinance_close_price_20260528,
US,USO,3.28,3.28,-86.75,0.55,9.99,SPY,ready,yfinance_close_price_20260528,
US,XOP,1.41,1.41,-83.08,1.21,9.99,SPY,ready,yfinance_close_price_20260528,
US,AVRE,-0.78,-0.78,-36.4,0.65,4.65,SPY,ready,yfinance_close_price_20260528,
US,BBRE,4.4,4.4,-43.61,0.84,7.94,SPY,ready,yfinance_close_price_20260528,
US,BOIL,-56.91,-56.91,-99.99,0.48,9.99,SPY,ready,yfinance_close_price_20260528,
US,BULZ,15.49,15.49,-94.44,4.68,4.77,SPY,ready,yfinance_close_price_20260528,
US,DFAR,1.01,1.01,-34.66,0.71,4.25,SPY,ready,yfinance_close_price_20260528,
US,DFGR,4.62,4.62,-22.52,0.61,3.47,SPY,ready,yfinance_close_price_20260528,
US,FNGU,24.12,24.12,-60.84,3.77,1.26,SPY,short_history,yfinance_close_price_20260528,price history shorter than 3 years
US,FREL,2.24,2.24,-43.46,0.84,9.99,SPY,ready,yfinance_close_price_20260528,
US,FTLS,8.88,8.88,-20.54,0.53,9.99,SPY,ready,yfinance_close_price_20260528,
US,FTSM,0.01,0.01,-4.17,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,GSY,0.02,0.02,-5.25,0.01,9.99,SPY,ready,yfinance_close_price_20260528,
US,HAUZ,0.88,0.88,-41.67,0.62,9.99,SPY,ready,yfinance_close_price_20260528,
US,ICF,2.96,2.96,-40.22,0.79,9.99,SPY,ready,yfinance_close_price_20260528,
US,IYR,2.77,2.77,-42.32,0.82,9.99,SPY,ready,yfinance_close_price_20260528,
