market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,069500,18.43,18.43,-40.65,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,102110,18.41,18.41,-40.69,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,278530,19.91,19.91,-38.14,1.03,8.51,^KS11,ready,yfinance_kr_close_price_20260528,
KR,148020,18.47,18.47,-41.38,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,105190,18.45,18.45,-40.9,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,152100,18.5,18.5,-41.25,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005930,28.23,28.23,-45.16,1.17,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,207940,19.87,19.87,-57.28,0.66,9.54,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000660,54.53,54.53,-49.49,1.42,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005380,17.45,17.45,-61.24,1.02,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005490,7.38,7.38,-65.06,0.99,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006400,19.42,19.42,-80.39,1.19,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,035420,3.43,3.43,-65.86,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,035720,7.02,7.02,-80.65,0.89,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,051910,1.95,1.95,-82.26,1.18,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,055550,9.21,9.21,-59.93,0.72,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,068270,10.51,10.51,-64.66,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,373220,-6.16,-6.16,-57.05,0.9,4.33,^KS11,ready,yfinance_kr_close_price_20260528,
KR,435420,10.19,10.19,-9.84,0.13,3.89,^KS11,ready,yfinance_kr_close_price_20260528,
KR,472170,17.17,17.17,-15.3,0.18,2.48,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,237370,4.1,4.1,-17.36,0.23,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,253290,1.98,1.98,-22.18,0.27,9.67,^KS11,ready,yfinance_kr_close_price_20260528,
KR,448330,18.12,18.12,-14.59,0.38,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,488770,2.41,2.41,-1.41,-0.0,1.8,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,452250,-17.78,-17.78,-51.0,0.11,3.3,^KS11,ready,yfinance_kr_close_price_20260528,
KR,176950,2.63,2.63,-11.2,-0.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,295020,2.19,2.19,-11.22,-0.03,8.04,^KS11,ready,yfinance_kr_close_price_20260528,
KR,292770,1.74,1.74,-3.05,-0.01,8.12,^KS11,ready,yfinance_kr_close_price_20260528,
KR,304670,2.31,2.31,-38.48,0.0,7.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,451670,-9.66,-9.66,-50.0,0.15,3.28,^KS11,ready,yfinance_kr_close_price_20260528,
KR,267450,1.07,1.07,-30.88,-0.01,9.1,^KS11,ready,yfinance_kr_close_price_20260528,
KR,267490,-7.11,-7.11,-69.04,0.01,9.1,^KS11,ready,yfinance_kr_close_price_20260528,
KR,476550,-13.34,-13.34,-30.78,0.04,2.25,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,481060,-11.86,-11.86,-29.82,0.02,2.07,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,459580,2.46,2.46,-0.24,-0.0,2.97,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,251600,4.73,4.73,-23.41,0.29,9.79,^KS11,ready,yfinance_kr_close_price_20260528,
KR,447770,12.25,12.25,-21.35,0.26,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,490490,10.45,10.45,-11.09,-0.06,1.67,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,448630,13.27,13.27,-9.59,0.37,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,473330,-3.81,-3.81,-16.37,-0.07,2.41,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,475080,-5.37,-5.37,-19.98,0.17,2.34,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,438100,14.52,14.52,-13.86,0.01,3.75,^KS11,ready,yfinance_kr_close_price_20260528,
KR,448540,32.62,32.62,-13.9,0.23,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,447620,14.91,14.91,-11.3,0.11,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,472830,-3.33,-3.33,-15.22,-0.09,2.45,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,241390,5.46,5.46,-17.62,0.35,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,183700,7.42,7.42,-15.92,0.34,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,449580,17.29,17.29,-14.81,0.16,3.43,^KS11,ready,yfinance_kr_close_price_20260528,
KR,447660,10.09,10.09,-11.2,0.1,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,237440,-0.03,-0.03,-28.97,0.16,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,341850,-1.78,-1.78,-27.52,0.14,6.01,^KS11,ready,yfinance_kr_close_price_20260528,
KR,238670,2.95,2.95,-14.61,0.25,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,357870,3.13,3.13,-0.1,0.0,2.91,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,423160,2.55,2.55,-0.24,-0.0,4.08,^KS11,ready,yfinance_kr_close_price_20260528,
KR,273130,1.19,1.19,-13.19,0.02,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,481050,1.09,1.09,-0.3,-0.0,2.09,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,455890,3.17,3.17,-1.37,-0.0,3.05,^KS11,ready,yfinance_kr_close_price_20260528,
KR,449170,3.01,3.01,-0.6,-0.0,3.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,385540,0.79,0.79,-11.65,0.03,5.0,^KS11,ready,yfinance_kr_close_price_20260528,
KR,214980,1.31,1.31,-1.73,-0.0,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,284430,10.24,10.24,-16.95,0.28,8.49,^KS11,ready,yfinance_kr_close_price_20260528,
KR,453850,-9.06,-9.06,-29.52,0.06,3.2,^KS11,ready,yfinance_kr_close_price_20260528,
KR,475630,2.84,2.84,-0.56,0.0,2.3,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,477080,3.01,3.01,-0.01,0.0,2.17,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,436140,1.88,1.88,-8.29,0.04,3.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,469830,2.97,2.97,-1.56,-0.0,2.55,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,356540,0.3,0.3,-12.49,0.03,5.85,^KS11,ready,yfinance_kr_close_price_20260528,
KR,451540,1.94,1.94,-7.66,0.03,3.32,^KS11,ready,yfinance_kr_close_price_20260528,
KR,438080,11.59,11.59,-12.6,-0.04,3.75,^KS11,ready,yfinance_kr_close_price_20260528,
KR,479520,2.65,2.65,-0.53,-0.0,2.07,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,479080,2.98,2.98,-0.83,0.0,2.15,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,487340,2.22,2.22,-1.29,0.0,1.52,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,153130,1.19,1.19,-1.62,-0.0,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,122630,34.65,34.65,-66.22,2.06,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,455030,7.93,7.93,-8.04,-0.16,3.15,^KS11,ready,yfinance_kr_close_price_20260528,
KR,272580,1.41,1.41,-1.75,0.0,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,456610,9.03,9.03,-8.1,-0.17,3.05,^KS11,ready,yfinance_kr_close_price_20260528,
KR,484790,-7.62,-7.62,-21.37,0.0,1.94,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,438330,3.77,3.77,-3.2,0.02,3.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,329750,5.12,5.12,-16.19,-0.22,6.84,^KS11,ready,yfinance_kr_close_price_20260528,
KR,451000,2.19,2.19,-7.94,0.02,3.38,^KS11,ready,yfinance_kr_close_price_20260528,
KR,473290,3.0,3.0,-1.97,-0.0,2.46,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,458250,-10.99,-10.99,-34.33,0.1,2.99,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,480260,3.29,3.29,-1.62,0.0,2.09,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,499660,0.11,0.11,-0.31,0.0,1.44,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,385550,2.52,2.52,-1.8,-0.0,5.0,^KS11,ready,yfinance_kr_close_price_20260528,
KR,477050,2.73,2.73,-1.29,-0.0,2.17,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,454780,0.1,0.1,-10.53,0.03,3.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,456880,8.8,8.8,-8.02,-0.16,3.09,^KS11,ready,yfinance_kr_close_price_20260528,
KR,439860,3.35,3.35,-3.47,0.01,3.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,472920,-0.49,-0.49,-12.66,0.02,2.49,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,472870,-9.37,-9.37,-24.33,-0.11,2.41,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,476760,0.27,0.27,-16.94,-0.12,2.21,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,363570,-2.04,-2.04,-21.5,0.04,5.67,^KS11,ready,yfinance_kr_close_price_20260528,
KR,273140,1.55,1.55,-1.62,-0.0,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,437080,-0.15,-0.15,-9.19,0.04,3.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,458260,-1.82,-1.82,-9.64,0.06,2.99,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,488980,2.1,2.1,-2.56,-0.0,1.63,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,302190,0.02,0.02,-15.97,0.02,7.85,^KS11,ready,yfinance_kr_close_price_20260528,
KR,497880,0.13,0.13,-0.35,0.0,1.5,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,463290,2.88,2.88,-1.65,-0.0,2.81,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,305080,3.96,3.96,-17.17,-0.21,7.74,^KS11,ready,yfinance_kr_close_price_20260528,
KR,476450,2.03,2.03,-2.68,-0.0,2.23,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,491610,2.4,2.4,-0.7,0.0,1.67,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,461270,3.82,3.82,-1.52,0.0,2.93,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,272560,1.49,1.49,-1.98,0.0,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,464240,1.76,1.76,-1.76,0.0,2.78,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,458210,3.13,3.13,-0.05,-0.0,3.01,^KS11,ready,yfinance_kr_close_price_20260528,
KR,304660,-3.74,-3.74,-52.57,-0.0,7.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,136340,0.0,0.0,-5.83,0.01,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,114820,-0.57,-0.57,-8.19,0.01,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,498180,-4.1,-4.1,-9.75,0.04,1.5,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,491230,2.36,2.36,-1.19,0.0,1.71,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,308620,3.04,3.04,-18.36,-0.21,7.6,^KS11,ready,yfinance_kr_close_price_20260528,
KR,473440,2.84,2.84,-1.62,0.0,2.44,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,492500,1.24,1.24,-2.08,0.01,1.65,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,272910,0.64,0.64,-12.74,0.02,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,461500,2.19,2.19,-9.19,0.02,2.58,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,458030,3.0,3.0,-1.07,-0.0,2.99,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,486830,3.0,3.0,-0.37,-0.0,1.86,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,476750,-7.47,-7.47,-24.25,-0.14,2.21,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,475280,2.62,2.62,-1.36,-0.0,2.34,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,298340,1.43,1.43,-5.61,0.02,7.97,^KS11,ready,yfinance_kr_close_price_20260528,
KR,419890,1.54,1.54,-3.24,0.0,4.23,^KS11,ready,yfinance_kr_close_price_20260528,
KR,440640,3.0,3.0,-1.49,0.0,3.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,455960,8.56,8.56,-8.28,-0.16,3.03,^KS11,ready,yfinance_kr_close_price_20260528,
KR,278620,1.95,1.95,-1.41,0.0,8.67,^KS11,ready,yfinance_kr_close_price_20260528,
KR,488720,-0.89,-0.89,-7.36,0.02,1.8,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,475260,2.77,2.77,-1.24,0.0,2.34,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,475270,2.68,2.68,-1.22,0.0,2.34,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,464470,3.31,3.31,-16.59,-0.11,2.76,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,440650,6.03,6.03,-14.27,-0.2,3.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,437070,7.62,7.62,-10.43,-0.16,3.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,468630,8.01,8.01,-10.3,-0.11,2.6,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,461600,-6.0,-6.0,-18.84,0.06,2.87,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,152380,-0.19,-0.19,-21.31,0.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,437350,7.6,7.6,-12.22,-0.18,3.83,^KS11,ready,yfinance_kr_close_price_20260528,
KR,481340,-1.16,-1.16,-19.51,-0.13,2.0,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,489000,-0.25,-0.25,-11.86,-0.14,1.79,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,468370,7.25,7.25,-10.84,-0.15,2.6,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,332620,0.3,0.3,-31.78,-0.12,6.77,^KS11,ready,yfinance_kr_close_price_20260528,
KR,239660,1.88,1.88,-1.34,0.0,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,453010,2.74,2.74,-1.02,-0.0,3.2,^KS11,ready,yfinance_kr_close_price_20260528,
KR,484890,2.21,2.21,-1.27,-0.0,1.92,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,272570,0.82,0.82,-9.99,0.02,8.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,332610,4.88,4.88,-13.76,-0.21,6.77,^KS11,ready,yfinance_kr_close_price_20260528,
KR,453060,3.19,3.19,-0.04,-0.0,3.2,^KS11,ready,yfinance_kr_close_price_20260528,
KR,460270,10.42,10.42,-7.97,-0.16,2.93,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,456200,9.03,9.03,-8.47,-0.15,3.05,^KS11,ready,yfinance_kr_close_price_20260528,
KR,289670,0.48,0.48,-20.88,0.03,8.3,^KS11,ready,yfinance_kr_close_price_20260528,
KR,295000,0.42,0.42,-20.98,0.03,8.04,^KS11,ready,yfinance_kr_close_price_20260528,
KR,432600,2.44,2.44,-3.65,0.02,3.95,^KS11,ready,yfinance_kr_close_price_20260528,
KR,267440,-2.23,-2.23,-40.74,0.0,9.1,^KS11,ready,yfinance_kr_close_price_20260528,
KR,397420,0.18,0.18,-9.25,0.03,4.74,^KS11,ready,yfinance_kr_close_price_20260528,
KR,133690,23.47,23.47,-31.29,0.43,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,396500,41.33,41.33,-41.51,1.29,4.79,^KS11,ready,yfinance_kr_close_price_20260528,
KR,271050,-22.55,-22.55,-95.17,-0.27,8.95,^KS11,ready,yfinance_kr_close_price_20260528,
KR,217770,-20.62,-20.62,-95.96,-0.28,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,225130,64.32,64.32,-44.87,0.53,1.94,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,280940,-11.92,-11.92,-75.27,-0.19,8.54,^KS11,ready,yfinance_kr_close_price_20260528,
KR,466940,41.46,41.46,-20.26,0.6,2.61,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,498410,15.22,15.22,-22.76,0.44,1.44,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,423920,85.59,85.59,-70.1,1.55,4.1,^KS11,ready,yfinance_kr_close_price_20260528,
KR,462330,-42.67,-42.67,-95.78,2.17,2.89,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,484880,46.84,46.84,-20.1,0.61,1.92,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,486290,11.83,11.83,-28.01,0.34,1.92,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,498860,60.6,60.6,-23.09,0.74,1.46,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,418660,47.63,47.63,-51.11,0.78,4.26,^KS11,ready,yfinance_kr_close_price_20260528,
KR,409820,18.3,18.3,-63.17,1.21,4.46,^KS11,ready,yfinance_kr_close_price_20260528,
KR,412570,-29.13,-29.13,-95.7,2.09,4.45,^KS11,ready,yfinance_kr_close_price_20260528,
KR,465610,50.74,50.74,-53.18,0.79,1.92,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,379810,23.46,23.46,-31.03,0.39,5.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,465350,-12.51,-12.51,-72.93,-1.08,2.7,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,438320,-11.12,-11.12,-67.02,1.01,3.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,461910,66.74,66.74,-53.63,0.66,2.86,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,409810,-12.65,-12.65,-61.21,-0.62,4.46,^KS11,ready,yfinance_kr_close_price_20260528,
KR,465620,-34.89,-34.89,-71.2,-0.38,2.7,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,494300,5.76,5.76,-25.89,0.21,1.59,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,490590,40.79,40.79,-35.13,0.49,1.65,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,483280,16.69,16.69,-34.25,0.41,2.0,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,474220,23.87,23.87,-31.78,0.33,2.36,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,091160,25.72,25.72,-45.97,1.26,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,491620,15.23,15.23,-30.95,0.3,1.65,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,441680,4.32,4.32,-22.64,0.17,3.68,^KS11,ready,yfinance_kr_close_price_20260528,
KR,493810,16.24,16.24,-33.4,0.3,1.61,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,480020,16.03,16.03,-32.37,0.32,2.09,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,480040,43.4,43.4,-42.62,0.66,2.09,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,476850,52.62,52.62,-18.89,0.9,2.25,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,211900,8.87,8.87,-52.13,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,211560,8.86,8.86,-52.28,0.8,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,487950,20.8,20.8,-28.48,0.39,1.84,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,494420,-0.13,-0.13,-16.59,0.09,1.59,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,373790,9.48,9.48,-15.93,-0.02,5.42,^KS11,ready,yfinance_kr_close_price_20260528,
KR,498400,90.07,90.07,-20.99,0.97,1.48,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,411060,27.92,27.92,-22.76,0.05,4.45,^KS11,ready,yfinance_kr_close_price_20260528,
KR,381180,37.1,37.1,-40.07,0.8,5.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,233740,4.04,4.04,-85.98,2.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,381170,27.1,27.1,-40.59,0.46,5.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,458730,16.52,16.52,-14.13,0.05,2.93,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,395270,49.53,49.53,-39.16,1.26,4.82,^KS11,ready,yfinance_kr_close_price_20260528,
KR,360750,19.41,19.41,-19.32,0.26,5.8,^KS11,ready,yfinance_kr_close_price_20260528,
KR,367380,25.1,25.1,-31.24,0.39,5.57,^KS11,ready,yfinance_kr_close_price_20260528,
KR,161510,8.87,8.87,-55.29,0.67,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,379800,19.85,19.85,-19.16,0.25,5.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,395160,39.14,39.14,-42.71,1.29,4.82,^KS11,ready,yfinance_kr_close_price_20260528,
KR,252670,-38.35,-38.35,-99.26,-2.09,9.68,^KS11,ready,yfinance_kr_close_price_20260528,
KR,144600,12.07,12.07,-49.3,0.54,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,114800,-18.97,-18.97,-89.05,-1.05,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,456600,85.5,85.5,-37.1,0.81,3.03,^KS11,ready,yfinance_kr_close_price_20260528,
KR,305720,9.0,9.0,-74.42,1.14,7.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,472150,46.89,46.89,-22.73,0.93,2.46,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,243880,52.06,52.06,-79.3,2.36,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,091170,9.71,9.71,-59.83,0.75,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,441640,8.24,8.24,-15.05,0.1,3.66,^KS11,ready,yfinance_kr_close_price_20260528,
KR,487230,66.78,66.78,-45.53,0.78,1.88,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,426030,52.32,52.32,-35.04,0.66,4.04,^KS11,ready,yfinance_kr_close_price_20260528,
KR,329200,-2.51,-2.51,-40.36,0.28,6.86,^KS11,ready,yfinance_kr_close_price_20260528,
KR,123320,36.05,36.05,-65.9,2.04,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,132030,10.62,10.62,-24.67,0.19,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,267770,34.1,34.1,-66.27,2.09,9.09,^KS11,ready,yfinance_kr_close_price_20260528,
KR,091230,26.2,26.2,-45.4,1.25,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,233160,4.75,4.75,-85.67,2.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,261260,-7.94,-7.94,-65.13,0.43,9.41,^KS11,ready,yfinance_kr_close_price_20260528,
KR,160580,11.67,11.67,-34.79,0.14,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,251340,-15.04,-15.04,-83.52,-1.07,9.79,^KS11,ready,yfinance_kr_close_price_20260528,
KR,130730,0.12,0.12,-3.55,0.0,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,252400,35.25,35.25,-66.82,2.14,9.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,446770,86.15,86.15,-29.91,0.87,3.53,^KS11,ready,yfinance_kr_close_price_20260528,
KR,204480,8.04,8.04,-72.45,0.43,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,319640,14.81,14.81,-24.71,0.22,7.13,^KS11,ready,yfinance_kr_close_price_20260528,
KR,278240,20.46,20.46,-51.51,1.73,1.94,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,261270,-3.05,-3.05,-35.44,0.21,9.41,^KS11,ready,yfinance_kr_close_price_20260528,
KR,449450,83.72,83.72,-27.44,0.7,3.39,^KS11,ready,yfinance_kr_close_price_20260528,
KR,152500,35.45,35.45,-65.95,2.04,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,253250,34.95,34.95,-66.55,2.07,9.7,^KS11,ready,yfinance_kr_close_price_20260528,
KR,253150,34.84,34.84,-66.66,2.08,9.66,^KS11,ready,yfinance_kr_close_price_20260528,
KR,473640,72.15,72.15,-30.67,0.39,2.35,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,456680,5.6,5.6,-71.81,0.13,3.05,^KS11,ready,yfinance_kr_close_price_20260528,
KR,261220,2.33,2.33,-88.57,0.24,9.41,^KS11,ready,yfinance_kr_close_price_20260528,
KR,225040,20.85,20.85,-58.86,1.07,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,123310,-18.6,-18.6,-88.72,-1.04,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,336160,0.11,0.11,-6.56,0.02,6.57,^KS11,ready,yfinance_kr_close_price_20260528,
KR,139320,9.9,9.9,-28.12,0.22,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,474800,21.07,21.07,-19.4,-0.1,2.36,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,453650,21.89,21.89,-18.32,0.15,3.18,^KS11,ready,yfinance_kr_close_price_20260528,
KR,138910,7.92,7.92,-41.81,0.45,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,368590,24.15,24.15,-31.33,0.39,5.55,^KS11,ready,yfinance_kr_close_price_20260528,
